"x","Y","piece"
741.668,-1.06592199163617,"956_Ia"
746.392,-1.03596378537543,"956_Ia"
751.116,-1.01996042896521,"956_Ia"
755.84,-0.967439798342458,"956_Ia"
760.564,-0.950090005695793,"956_Ia"
765.288,-0.921487853073187,"956_Ia"
770.012,-0.922093749379584,"956_Ia"
774.736,-0.922093749379584,"956_Ia"
779.46,-0.741969433149323,"956_Ia"
784.184,-0.782727981506621,"956_Ia"
788.908,-0.782727981506621,"956_Ia"
793.632,-0.782727981506621,"956_Ia"
798.356,-0.811330134129228,"956_Ia"
803.08,-0.811330134129228,"956_Ia"
807.804,-0.896876922151449,"956_Ia"
812.528,-0.896876922151449,"956_Ia"
817.252,-0.670646782224894,"956_Ia"
821.976,-0.609518577090635,"956_Ia"
826.7,-0.670646782224894,"956_Ia"
831.424,-0.66430891451195,"956_Ia"
836.148,-0.700624223289005,"956_Ia"
840.872,-0.66430891451195,"956_Ia"
845.596,-0.604498293409061,"956_Ia"
850.32,-0.66430891451195,"956_Ia"
855.044,-0.66430891451195,"956_Ia"
859.768,-0.700624223289005,"956_Ia"
864.492,-0.821322614483931,"956_Ia"
869.216,-0.977307252475207,"956_Ia"
873.94,-1.10448777240841,"956_Ia"
878.664,-1.10448777240841,"956_Ia"
883.388,-1.00614984014003,"956_Ia"
888.112,-1.00614984014003,"956_Ia"
892.836,-1.10448777240841,"956_Ia"
897.56,-1.10448777240841,"956_Ia"
902.284,-1.00614984014003,"956_Ia"
907.008,-1.06674908818141,"956_Ia"
911.732,-1.06674908818141,"956_Ia"
916.456,-0.947358663616163,"956_Ia"
921.18,-0.922843906711313,"956_Ia"
925.904,-0.794567002985582,"956_Ia"
930.628,-0.794567002985582,"956_Ia"
935.352,-0.796105787255796,"956_Ia"
940.076,-0.478029461200832,"956_Ia"
944.8,-0.478029461200832,"956_Ia"
949.524,-0.740815344946662,"956_Ia"
954.248,-0.478029461200832,"956_Ia"
958.972,-0.740815344946662,"956_Ia"
963.696,-0.595352144402976,"956_Ia"
968.42,-0.787911761016905,"956_Ia"
973.144,-0.874093297550589,"956_Ia"
977.868,-0.874093297550589,"956_Ia"
982.592,-0.905619140286603,"956_Ia"
987.316,-1.23626541034888,"956_Ia"
992.04,-1.23626541034888,"956_Ia"
996.764,-1.00779441582883,"956_Ia"
1001.488,-1.22800406229817,"956_Ia"
1006.212,-1.22800406229817,"956_Ia"
1010.936,-1.23312051999663,"956_Ia"
1015.66,-1.25204756652026,"956_Ia"
1020.384,-1.05231336824646,"956_Ia"
1025.108,-1.02826986402436,"956_Ia"
1029.832,-0.857541749244098,"956_Ia"
1034.556,-0.788488805118236,"956_Ia"
1039.28,-0.788488805118236,"956_Ia"
1044.004,-0.671781635624177,"956_Ia"
1048.728,-0.651392744043839,"956_Ia"
1053.452,-0.651392744043839,"956_Ia"
1058.176,-0.651392744043839,"956_Ia"
1062.9,-0.651392744043839,"956_Ia"
1067.624,-0.479885619726778,"956_Ia"
1072.348,-0.479885619726778,"956_Ia"
1077.072,-0.641784959756689,"956_Ia"
1081.796,-0.470518270481849,"956_Ia"
1086.52,-0.641784959756689,"956_Ia"
1091.244,-0.660962058724234,"956_Ia"
1095.968,-0.665838081380475,"956_Ia"
1100.692,-0.665838081380475,"956_Ia"
1105.416,-0.637293633168002,"956_Ia"
1110.14,-0.637293633168002,"956_Ia"
1114.864,-0.637293633168002,"956_Ia"
1119.588,-0.610124473397032,"956_Ia"
1124.312,-0.615000496053273,"956_Ia"
1129.036,-0.663106739300845,"956_Ia"
1133.76,-0.615000496053273,"956_Ia"
1138.484,-0.615000496053273,"956_Ia"
1143.208,-0.635937579529875,"956_Ia"
1147.932,-0.635937579529875,"956_Ia"
1152.656,-0.635937579529875,"956_Ia"
1157.38,-0.635937579529875,"956_Ia"
1162.104,-0.636706971664983,"956_Ia"
1166.828,-0.636706971664983,"956_Ia"
1171.552,-0.648545993143943,"956_Ia"
1176.276,-0.488714394477131,"956_Ia"
1181,-0.488714394477131,"956_Ia"
1185.724,-0.488714394477131,"956_Ia"
