"whale_index","Elapsed_DIV_Time","Sr_DIV_Ca","row_number","no_trend","nt_sd"
"SMP_18",905.460939884186,0.000790630231411912,285,0.00015671139195673,1.33026820958002
"SMP_18",908.617189884186,0.000793970404720997,286,0.000159737901961634,1.35595919474218
"SMP_18",911.773439884186,0.000744576262746867,287,0.000110029509588599,0.934002033252361
"SMP_18",914.925780057907,0.000791272477263851,288,0.000156411277719419,1.32772064475942
"SMP_18",918.082030057907,0.000653745721900083,289,1.85691007088599e-05,0.157626602923078
"SMP_18",921.238280057907,0.000743599519937233,290,0.000108106892220164,0.917681606686806
"SMP_18",924.39063000679,0.000744268313357091,291,0.000108459486532476,0.920674656513573
"SMP_18",927.54688000679,0.00066668372596993,292,3.05577257983712e-05,0.259393849286085
"SMP_18",930.70313000679,0.00070986371624219,293,7.34199600603035e-05,0.623236368443619
"SMP_18",933.855469942093,0.000671561800425587,294,3.4800101035895e-05,0.295405889260471
"SMP_18",937.011719942093,0.00078365226124508,295,0.000146571643454413,1.24419543007531
"SMP_18",940.167969942093,0.000775872716326151,296,0.000138472599686795,1.17544547949715
"SMP_18",943.320310115814,0.000714715068154726,297,7.69952698156416e-05,0.653585922790254
"SMP_18",946.476560115814,0.000760208023235427,298,0.000122167568085556,1.03703776755931
"SMP_18",949.628910064697,0.000749442863118634,299,0.000111081570219652,0.942932608078905
"SMP_18",952.785160064697,0.000649785031842367,300,1.1101927120502e-05,0.0942403773527577
"SMP_18",955.941410064697,0.000662028337037823,301,2.30228437378407e-05,0.195432870170884
"SMP_18",959.097660064697,0.000656780575419793,302,1.7452117525321e-05,0.148144923249735
"SMP_18",962.25,0.000638139666018779,303,-1.51193058043307e-06,-0.0128342500256607
"SMP_18",965.40625,0.000710193181777785,304,7.02174714792247e-05,0.596051562682156
"SMP_18",968.5625,0.000714480831342513,305,7.41804335439016e-05,0.629691761933701
"SMP_18",971.714839935303,0.0007234977507372,306,8.28724956742312e-05,0.703475638034198
"SMP_18",974.871089935303,0.000761893683219319,307,0.000120942595980034,1.02663940768737
"SMP_18",978.027339935303,0.000768464262400382,308,0.000127186771399749,1.0796440294457
"SMP_18",981.179689884186,0.000775914705975498,309,0.000134310644748657,1.14011609932396
"SMP_18",984.335939884186,0.000784143245513864,310,0.000142211640276196,1.20718488764294
"SMP_18",987.488280057907,0.000683486360066687,311,4.12270482534411e-05,0.349961996901395
"SMP_18",990.644530057907,0.000652901910947233,312,1.03139178272382e-05,0.0875512420027769
"SMP_18",993.800780057907,0.000701134530054059,313,5.82172877347637e-05,0.494186198938956
"SMP_18",996.95313000679,0.000718963119917011,314,7.57164691351879e-05,0.642730630967777
"SMP_18",1000.10938000679,0.000679739442530318,315,3.61624096801138e-05,0.306970050987403
"SMP_18",1003.26563000679,0.000692526458276498,316,4.86184776810332e-05,0.412705256776178
"SMP_18",1006.41796994209,0.00072297677175231,317,7.87376895114051e-05,0.668376714321608
"SMP_18",1009.57421994209,0.000777001357713665,318,0.000132430199288813,1.12415365534433
"SMP_18",1012.73046994209,0.000697104632209104,319,5.22008341390958e-05,0.443114628118244
"SMP_18",1015.88281011581,0.00072208668073551,320,7.68500934025095e-05,0.652353570982519
"SMP_18",1019.03906011581,0.000675903870632299,321,3.03335196440093e-05,0.257490641639112
"SMP_18",1022.19531011581,0.00072601949315048,322,8.01148172613593e-05,0.680066670255382
"SMP_18",1025.3476600647,0.000689949164884399,323,4.37100177377556e-05,0.371039056642226
"SMP_18",1028.5039100647,0.000661453837545762,324,1.48792459150174e-05,0.126304715797153
"SMP_18",1031.6601600647,0.000692635795962761,325,4.5725200818046e-05,0.388145241168583
"SMP_18",1034.8125,0.000681299116085755,326,3.40523764248056e-05,0.289058716491261
"SMP_18",1037.96875,0.000665063875944143,327,1.7480017616327e-05,0.148381757366555
"SMP_18",1041.125,0.000744335013830937,328,9.6413480022054e-05,0.818420319332818
"SMP_18",1044.2773399353,0.000717565463681133,329,6.93061176717611e-05,0.588315398880591
"SMP_18",1047.4335899353,0.000714202818431127,330,6.56046862163879e-05,0.556895241522904
"SMP_18",1050.5898399353,0.000705537165889811,331,5.65996928711736e-05,0.480455001760847
"SMP_18",1053.74218988419,0.000708383437833376,332,5.91064904867953e-05,0.501734330176444
"SMP_18",1056.89843988419,0.00067987536073952,333,3.02579662915809e-05,0.256849295648832
"SMP_18",1060.05468988419,0.000635208600439514,334,-1.47497934926417e-05,-0.125205839448795
"SMP_18",1063.20703005791,0.000747849472763907,335,9.75499511432845e-05,0.828067425294943
"SMP_18",1066.36328005791,0.000622087105494673,336,-2.8554517477315e-05,-0.242389314303695
"SMP_18",1069.51953005791,0.000686193125764396,337,3.52088512738538e-05,0.298875627104195
"SMP_18",1072.67188000679,0.000692401779862468,338,4.10747288433765e-05,0.348669010690368
"SMP_18",1075.82813000679,0.000741701158141631,339,9.00303581637327e-05,0.764236229842088
"SMP_18",1078.98438000679,0.000699868511582645,340,4.78534146944244e-05,0.406210904599834
"SMP_18",1082.13671994209,0.000720496429594132,341,6.81369161252292e-05,0.578390455782819
"SMP_18",1085.29296994209,0.000747860107288957,342,9.51552038998173e-05,0.807739253308292
