"whale_index","Pb_DIV_Ca","row_number","millimeters","no_trend","nt_sd"
"SMP_210151",1.1123719836039e-06,52,8.1784,-9.97493347033657e-08,-0.196034489482979
"SMP_210151",1.14978049676267e-06,53,8.3368,-6.26962293403398e-08,-0.123215090584725
"SMP_210151",1.29613388371544e-06,54,8.4952,8.3301369567955e-08,0.163709778165929
"SMP_210151",1.94959730260932e-06,55,8.6536,7.36408621946734e-07,1.4472426175422
"SMP_210151",1.48277817019102e-06,56,8.812,2.69232946320845e-07,0.529115741382727
"SMP_210151",1.30823745012342e-06,57,8.9704,9.43353081312724e-08,0.185394459268604
"SMP_210151",1.13235951158785e-06,58,9.1288,-8.18999216625236e-08,-0.160955553032546
"SMP_210151",8.79147252792307e-07,59,9.2872,-3.35469843074421e-07,-0.659289203477867
"SMP_210151",1.52186432106074e-06,60,9.4456,3.06889192997641e-07,0.603120476502848
"SMP_210151",1.01346093124944e-06,61,9.604,-2.01872596811921e-07,-0.39673439000183
"SMP_210151",8.17473428090123e-07,62,9.7624,-3.98218865993264e-07,-0.782608047759203
"SMP_210151",9.0593562251672e-07,63,9.9208,-3.10115801834347e-07,-0.609461637754157
"SMP_210151",1.26669124854282e-06,64,10.0792,5.02803314565451e-08,0.0988144847023848
"SMP_210151",1.26324270208889e-06,65,10.2376,4.64719315779973e-08,0.0913299463026218
"SMP_210151",1.56344296531121e-06,66,10.396,3.46311982464415e-07,0.680596947199079
"SMP_210151",1.11818805859598e-06,67,10.5544,-9.93034937198786e-08,-0.195158291061722
"SMP_210151",6.11136085927775e-07,68,10.7128,-6.06716391212193e-07,-1.19236221841412
"SMP_210151",1.01707755755082e-06,69,10.8712,-2.01136197990186e-07,-0.395287166644361
"SMP_210151",9.33311949697485e-07,70,11.0296,-2.85263436043354e-07,-0.560620000315976
"SMP_210151",1.0743155287706e-06,71,11.188,-1.44621837190757e-07,-0.284221123941229
"SMP_210151",1.09946032024868e-06,72,11.3464,-1.19839374175756e-07,-0.235516864411842
"SMP_210151",9.4239345396753e-07,73,11.5048,-2.77268915384421e-07,-0.54490859952623
"SMP_210151",9.82215766560686e-07,74,11.6632,-2.378096224051e-07,-0.467360389530005
"SMP_210151",1.532640417033e-06,75,11.8216,3.12251665545182e-07,0.613659189080229
"SMP_210151",7.22594247425415e-07,76,11.98,-4.98158207714512e-07,-0.979015952552263
"SMP_210151",6.06483329513063e-07,77,12.1384,-6.14633168630928e-07,-1.20792083265698
"SMP_210151",1.46266595781987e-06,78,12.2968,2.41185079097981e-07,0.473994077178434
"SMP_210151",7.51592841346406e-07,79,12.4552,-4.70252753749095e-07,-0.924174169013865
"SMP_210151",6.09863431881427e-07,80,12.6136,-6.12347213605277e-07,-1.2034283112004
"SMP_210151",1.11513825540478e-06,81,12.772,-1.07437772712601e-07,-0.211144354872498
"SMP_210151",1.31560117950923e-06,82,12.9304,9.26594382998247e-08,0.182100920641758
"SMP_210151",5.89008662867014e-07,83,13.0888,-6.34299120117645e-07,-1.24656975970357
"SMP_210151",8.04180428177565e-07,84,13.2472,-4.19493723487457e-07,-0.824418911361449
"SMP_210151",6.8562922600834e-07,85,13.4056,-5.38411619464031e-07,-1.05812482125531
"SMP_210151",9.9655004088101e-07,86,13.564,-2.27857821747577e-07,-0.447802402831291
"SMP_210151",9.10296681325543e-07,87,13.7224,-3.14478520030006e-07,-0.618035561949115
"SMP_210151",1.33511832242766e-06,88,13.8808,1.09975462552529e-07,0.216131603496419
"SMP_210151",1.392721750788e-06,89,14.0392,1.67210914378776e-07,0.328614785589336
"SMP_210151",9.59515480457273e-07,90,14.1976,-2.66363648722421e-07,-0.523476793598719
"SMP_210151",1.08017906865193e-06,91,14.356,-1.46068667756493e-07,-0.28706453830751
"SMP_210151",1.00732373153649e-06,92,14.5144,-2.19292924780811e-07,-0.430970057940497
"SMP_210151",1.36622225046185e-06,93,14.6728,1.39236363333662e-07,0.273637207553827
"SMP_210151",1.56565500619394e-06,94,14.8312,3.38299579130955e-07,0.664850402105045
"SMP_210151",1.27981765202582e-06,95,14.9896,5.20923776822777e-08,0.102375646867901
"SMP_210151",7.53438480945466e-07,96,15.148,-4.74656946246304e-07,-0.932829601457025
"SMP_210151",1.50368833730244e-06,97,15.3064,2.75222453472913e-07,0.540886746976919
"SMP_210151",1.96179484657682e-06,98,15.4648,7.32958204098122e-07,1.44046161089722
"SMP_210151",1.2980173912238e-06,99,15.6232,6.88096898626325e-08,0.135229698161066
"SMP_210151",1.50219145682821e-06,100,15.7816,2.72612398129405e-07,0.535757280516733
"SMP_210151",1.82178036683785e-06,101,15.94,5.91829654124352e-07,1.16310574353375
"SMP_210151",1.56811810846023e-06,102,16.0984,3.37795446833118e-07,0.663859645445543
"SMP_210151",1.60591882770535e-06,103,16.2568,3.75223924043805e-07,0.737416751805619
"SMP_210151",1.61027767518139e-06,104,16.4152,3.79210238142732e-07,0.745250939889438
"SMP_210151",2.26713603177725e-06,105,16.5736,1.0356957717969e-06,2.03542301798465
"SMP_210151",1.68944375430331e-06,106,16.732,4.57630383594829e-07,0.899367789135591
"SMP_210151",2.09649858515589e-06,107,16.8904,8.64311817710961e-07,1.69860707786111
"SMP_210151",1.62406302997437e-06,108,17.0488,3.91502581562782e-07,0.769408727749026
"SMP_210151",1.52130561854703e-06,109,17.2072,2.88371206716695e-07,0.566727612353593
"SMP_210151",2.23972258246265e-06,110,17.3656,1.00641392653961e-06,1.97787625235255
