"whale_index","Sr_DIV_Ca","row_number","millimeters","no_trend","nt_sd"
"SMP_210151",0.00058020342086665,357,57.1312,-3.66126168456981e-06,-0.0261148676640736
"SMP_210151",0.000557624198468067,358,57.2914,-2.64016012038287e-05,-0.188316045384951
"SMP_210151",0.000576128331734905,359,57.4516,-8.05930556990872e-06,-0.0574850192515607
"SMP_210151",0.000561259174923711,360,57.6118,-2.30910224475391e-05,-0.164702511701643
"SMP_210151",0.000560600961862939,361,57.772,-2.39125199295412e-05,-0.170562048625559
"SMP_210151",0.000547615039710338,362,57.9322,-3.70624527794408e-05,-0.264357244312843
"SMP_210151",0.000556441882329796,363,58.0924,-2.84003490546262e-05,-0.202572615964817
"SMP_210151",0.000551918824262925,364,58.2526,-3.30888761347606e-05,-0.236014711828424
"SMP_210151",0.000593058821528752,365,58.4128,7.88492007790687e-06,0.0562411709723308
"SMP_210151",0.000564266855285046,366,58.573,-2.1073981180129e-05,-0.150315458737528
"SMP_210151",0.000577095545766657,367,58.7332,-8.41296159529575e-06,-0.0600075595934619
"SMP_210151",0.000550700184872446,368,58.8934,-3.49767311900059e-05,-0.249480311718337
"SMP_210151",0.000564296451843714,369,59.0536,-2.15496126442363e-05,-0.153708019502681
"SMP_210151",0.000572724948430809,370,59.2138,-1.32910061289116e-05,-0.0948014362485266
"SMP_210151",0.00058414314570584,371,59.374,-2.04344249320112e-06,-0.0145753663317737
"SMP_210151",0.000596879427662036,372,59.5342,1.0521460334851e-05,0.0750469559265377
"SMP_210151",0.000602550384835504,373,59.6944,1.60202909700733e-05,0.114268745221519
"SMP_210151",0.000602757817635936,374,59.8546,1.60548479008856e-05,0.114515231201705
"SMP_210151",0.000605509711675966,375,60.0148,1.8633114818643e-05,0.132905366941976
"SMP_210151",0.000630480820594903,376,60.175,4.34298434413823e-05,0.309774255941062
"SMP_210151",0.00069277713142219,377,60.3352,0.000105551018877268,0.752869127439018
"SMP_210151",0.000607955349519867,378,60.4954,2.05533445670659e-05,0.14660188745457
"SMP_210151",0.00063824820208733,379,60.6556,5.0669545788896e-05,0.36141324955067
"SMP_210151",0.000646415815680896,380,60.8158,5.86597471778013e-05,0.418405365891317
